,epoch,epoch_loss,validation_loss,time
0,1,0.062081824098324766,0.001227341881668914,0 days 00:00:53.184705
1,2,0.0006797895175520473,0.0007538768995217322,0 days 00:01:44.531588
2,3,0.0007764600101978209,0.0005013043543631281,0 days 00:02:35.902755
3,4,0.0004277883793130668,0.000522784063303043,0 days 00:03:27.236979
4,5,0.0004180552035572247,0.0003596658621958312,0 days 00:04:18.563982
5,6,0.00033524261081158173,0.00035264423339873913,0 days 00:05:09.859975
6,7,0.0005296682630813813,0.00026482303783182027,0 days 00:06:01.385150
7,8,0.000389669736312244,0.0003447837597455791,0 days 00:06:53.154750
8,9,0.00024160209758854713,0.0004989129167080138,0 days 00:07:44.860545
9,10,0.00027781823422953186,0.00035964846618219203,0 days 00:08:36.425677
10,11,0.000276302749950136,0.00023861427864137278,0 days 00:09:27.935606
11,12,0.00017488327721695143,0.00028766394020922245,0 days 00:10:19.385957
12,13,0.00016566679293172052,0.00020383798893467886,0 days 00:11:10.948595
13,14,0.00019987789915588687,0.00044761349568016095,0 days 00:12:02.468131
14,15,0.00021907936051224084,0.0002945978616361441,0 days 00:12:53.936393
15,16,0.00014503243204277706,0.00020657490301500316,0 days 00:13:45.369803
16,17,0.00015209486897778328,0.0002617896540923263,0 days 00:14:36.802619
17,18,0.00013433156410730434,0.00029599872356905364,0 days 00:15:28.267126
18,19,0.00014833775052010306,0.0002490808774691823,0 days 00:16:19.717788
19,20,0.00021852143270788193,0.00027882421936299386,0 days 00:17:11.172456
20,21,0.00012908768428870085,0.0002048079512675978,0 days 00:18:02.625570
21,22,0.00012394210407816548,0.00020887889569514646,0 days 00:18:54.166757
22,23,8.859575633491751e-05,0.00021018061326315044,0 days 00:19:45.638155
23,24,7.03079112311121e-05,0.0002386188069641367,0 days 00:20:37.087187
