,epoch,epoch_loss,validation_loss,time
0,1,0.004139819440382489,0.0038640104940880337,0 days 00:00:53.434707
1,2,0.0005383551274555048,0.0004931545517971146,0 days 00:01:44.945825
2,3,0.000608091925861604,0.0114420331503007,0 days 00:02:36.361782
3,4,0.00042579461266990944,0.000634470058308046,0 days 00:03:27.547016
4,5,0.00037018025559888267,0.0028299170209325924,0 days 00:04:18.721875
5,6,0.0005017784014997245,0.026209240631398664,0 days 00:05:09.949891
6,7,0.0003226364223795268,0.00028449386360709895,0 days 00:06:01.090736
7,8,0.00030249384362996887,0.0010402607110869121,0 days 00:06:52.353777
8,9,0.0002608690508741162,0.0015080673686226867,0 days 00:07:43.536322
9,10,0.00024112916200247784,0.0004618835797619002,0 days 00:08:34.680531
10,11,0.00017784072723345826,0.002638027117596466,0 days 00:09:25.835292
11,12,0.00018860217032462158,0.0024427921520889257,0 days 00:10:17.092559
12,13,0.0001528689684556549,0.011081262601212514,0 days 00:11:08.292518
13,14,0.00032894992919714434,0.003191236519276835,0 days 00:11:59.466920
14,15,0.00016037270210738006,0.0012491435603244022,0 days 00:12:50.673638
15,16,0.0003028150305136698,0.00022833542460246097,0 days 00:13:41.951196
16,17,0.00012498746681790252,0.00348571215999153,0 days 00:14:33.219340
17,18,0.00014626873595614836,0.02365327011977962,0 days 00:15:24.379341
18,19,0.00015117045756102,0.0006958330132880555,0 days 00:16:15.624738
19,20,0.00011322793048567613,0.0019263150028464722,0 days 00:17:06.822260
20,21,0.00015465362847868867,0.0007288569939601836,0 days 00:17:58.032049
21,22,0.0001400597857827222,0.0002378076890345726,0 days 00:18:49.197036
22,23,0.0001010890051766675,0.0011452278436461772,0 days 00:19:40.372380
23,24,0.000144376273324916,0.0017756122163720804,0 days 00:20:31.603714
