,epoch,epoch_loss,validation_loss,time
0,1,1.9763115171519683,0.13576766161872006,0 days 00:00:53.588668
1,2,0.1395875109237688,0.13576766161872006,0 days 00:01:44.873471
2,3,0.13958751126013813,0.1357676616187201,0 days 00:02:36.157318
3,4,0.13958751327835411,0.13576766161872006,0 days 00:03:27.401618
4,5,0.13958751119286428,0.13576766161872006,0 days 00:04:18.623005
5,6,0.1395875098810239,0.13576766161872006,0 days 00:05:09.841686
6,7,0.13958751203378758,0.13576766161872006,0 days 00:06:01.019262
7,8,0.13958751129377509,0.1357676616187201,0 days 00:06:52.357053
8,9,0.1395875106883103,0.1357676616187201,0 days 00:07:43.637797
9,10,0.13958751105831654,0.1357676616187201,0 days 00:08:34.857387
10,11,0.13958751105831654,0.13576766161872006,0 days 00:09:26.083408
11,12,0.13958751119286428,0.13576766161872006,0 days 00:10:17.246075
12,13,0.139587510822858,0.13576766161872006,0 days 00:11:08.532542
13,14,0.13958751166378133,0.1357676616187201,0 days 00:11:59.683462
14,15,0.1395875111255904,0.13576766161872006,0 days 00:12:50.822768
15,16,0.1395875106883103,0.1357676616187201,0 days 00:13:41.978488
16,17,0.13958751102467962,0.13576766161872006,0 days 00:14:33.115682
17,18,0.13958751004920855,0.13576766161872006,0 days 00:15:24.322353
18,19,0.13958751169741826,0.13576766161872006,0 days 00:16:15.518210
19,20,0.13958751233651998,0.1357676616187201,0 days 00:17:06.675078
20,21,0.13958751129377509,0.13576766161872006,0 days 00:17:57.861762
21,22,0.13958751139468586,0.13576766161872006,0 days 00:18:49.113607
22,23,0.1395875105201256,0.13576766161872006,0 days 00:19:40.316611
23,24,0.1395875116301444,0.1357676616187201,0 days 00:20:31.554062
